Event	ID	Name			Wwise Object Path	Notes
	375687853	GFootsteps			\Default Work Unit\GFootsteps	
	770143801	BatSlain			\Default Work Unit\BatSlain	
	815341915	FloralAmbience			\Default Work Unit\FloralAmbience	
	1203409809	SunDamagedCave			\Default Work Unit\SunDamagedCave	
	1483277815	MoonDamaged			\Default Work Unit\MoonDamaged	
	1689873234	SunDamaged			\Default Work Unit\SunDamaged	
	1938177371	SunMusic1			\Default Work Unit\SunMusic1	
	1992179679	ArmoredEnemyAttack			\Default Work Unit\ArmoredEnemyAttack	
	3194455577	SFootsteps			\Default Work Unit\SFootsteps	
	3280349325	CavesAmbience			\Default Work Unit\CavesAmbience	
	3293333115	BatDamaged			\Default Work Unit\BatDamaged	
	3626407789	BatAttacks			\Default Work Unit\BatAttacks	
	3770854140	MoonMusic1			\Default Work Unit\MoonMusic1	

Switch Group	ID	Name			Wwise Object Path	Notes
	2769296183	ArmoredEnemy			\Default Work Unit\ArmoredEnemy	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	125192489	FloralAmbience1	.cache\F6\{F6CC7C7E-55D0-F212-A635-ED1BD6DAA010}.wem		\Containers\Default Work Unit\FloralAmbience1		2307336
	255574596	BatAttack-2	.cache\1E\{1E91129E-5684-A1EC-AAF6-15D924B0C873}.wem		\Containers\Default Work Unit\BatAttack-2		162652
	265268529	FootstepsOnStone1	.cache\BC\{BC9EFE7F-81FF-FD0C-9ACD-C746A33E0449}.wem		\Containers\Default Work Unit\SFootsteps\FootstepsOnStone1		55424
	281847246	SunDamaged-1	.cache\F3\{F3E801C9-DEF1-612D-1EF8-D459EBA87DD4}.wem		\Containers\Default Work Unit\SunDamaged-1		137228
	327021272	FootstepsOnStone2	.cache\91\{91EEFAA9-7370-7681-60FE-882F6A07FB06}.wem		\Containers\Default Work Unit\SFootsteps\FootstepsOnStone2		144644
	345978686	MoonDamaged-1	.cache\0D\{0D16D5E9-E7CF-520E-7496-AC65E29DC166}.wem		\Containers\Default Work Unit\MoonDamaged-1		98164
	497125793	CaveAmbience1	.cache\D1\{D1C879E6-EE5B-683E-F531-3CD77BD9C9AC}.wem		\Containers\Default Work Unit\CaveAmbience1		2034088
	513277040	BatDamaged	.cache\B6\{B6322EEA-6E0C-E294-BFAE-F92C445070A4}.wem		\Containers\Default Work Unit\BatDamaged		56252
	538011636	BatKilled	.cache\0B\{0B903DAB-8973-7E5C-CC63-62A8B66624D0}.wem		\Containers\Default Work Unit\BatKilled		149032
	540537894	FootstepsOnGrass1	.cache\4A\{4A3181B1-16A4-BD2B-A414-B619E783AEA3}.wem		\Containers\Default Work Unit\GFootsteps\FootstepsOnGrass1		74332
	686907197	Level-1-Sun	.cache\3B\{3B0439E1-7BE5-148E-AE21-2D2BE348B68C}.wem		\Containers\Default Work Unit\Level-1-Sun		27114372
	704320324	FootstepsOnGrass3	.cache\26\{26136FE9-B48A-9F47-6D6D-CFAA3F401348}.wem		\Containers\Default Work Unit\GFootsteps\FootstepsOnGrass3		83412
	746925879	FootstepsOnStone3	.cache\89\{89C69DC8-9429-EC21-3CB5-87512363746B}.wem		\Containers\Default Work Unit\SFootsteps\FootstepsOnStone3		116260
	778461505	FootstepsOnGrass2	.cache\1D\{1DF70DE2-FED8-AA01-D31C-474911306E74}.wem		\Containers\Default Work Unit\GFootsteps\FootstepsOnGrass2		77116
	779731089	Level-1-Moon	.cache\54\{54D40746-F6DB-D6F8-962C-DBBAFABC5264}.wem		\Containers\Default Work Unit\Level-1-Moon		27069128
	1000089471	SunDamagedWithEcho-1	.cache\E0\{E0EE8545-9E81-86A0-89DA-A87D19DBCDE2}.wem		\Containers\Default Work Unit\SunDamagedWithEcho-1		209256

